batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
real_random_max131072_b0,real_random,131072,0,ulysses_only,ok,9189.02682164526,1.0,1.993100643157959,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ring_only,ok,4822.856415449114,1.9053079814298306,2.1934566497802734,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring,ok,4822.856415449113,1.905307981429831,5.810128927230835,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,usp_only,ok,6064.959238703288,1.5151011672107972,9.776349067687988,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring_usp,ok,4822.856415449114,1.9053079814298306,6.453211784362793,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_only,ok,4158.658150081903,1.0,4.4055094718933105,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ring_only,ok,3317.405563912559,1.2535875008231336,1.8756873607635498,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_ring,ok,3317.405563912558,1.2535875008231339,5.8126325607299805,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,usp_only,ok,4775.220152922732,0.8708830204480824,11.708709239959717,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_ring_usp,ok,3317.4055639125586,1.2535875008231336,38.22889018058777,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_only,ok,987.2756619745478,1.0,4.626083612442017,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ring_only,ok,707.1815807451464,1.3960709510197797,2.4669435024261475,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_ring,ok,707.1815807451464,1.3960709510197797,5.0577075481414795,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,usp_only,ok,1427.7912946601036,0.6914705711310393,17.178138971328735,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_ring_usp,ok,707.1815807451463,1.39607095101978,4.770833969116211,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_only,ok,1106.9948971162614,1.0,1.873349666595459,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ring_only,ok,825.0843379159396,1.3416748400683411,2.756755828857422,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_ring,ok,825.0843379159396,1.3416748400683411,4.766598701477051,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,usp_only,ok,1509.9670818202912,0.7331251856045498,17.016502857208252,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_ring_usp,ok,825.0843379159396,1.3416748400683411,4.824355363845825,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_only,ok,579.1737277166612,1.0,2.8596792221069336,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ring_only,ok,310.2048900163194,1.867068335660962,1.6246342658996582,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_ring,ok,310.20489001631915,1.8670683356609634,2.9962666034698486,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,usp_only,ok,545.1061450613197,1.0624971539286339,1.363739252090454,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_ring_usp,ok,310.2048900163154,1.867068335660986,2.948005437850952,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
